company_id,name
company_zarbio,Zarbio
company_plexxikon_inc,Plexxikon Inc
company_vanderbilt_university,Vanderbilt University
company_nationwide_children_s_hospital,Nationwide Children's Hospital
company_university_of_california,University of California
company_jiangsu_nhwa_pharmaceutical_group_co_ltd,Jiangsu Nhwa Pharmaceutical Group Co Ltd
company_gasherbrum_bio_inc,Gasherbrum Bio Inc
company_perha_pharmaceuticals,Perha Pharmaceuticals
company_gunma_university,Gunma University
company_zeon_corp,Zeon Corp
company_prelude_therapeutics_inc,Prelude Therapeutics Inc
company_childrens_medical_center_corp,Childrens Medical Center Corp
company_emory_university,Emory University
company_ono_pharmaceutical_co_ltd,Ono Pharmaceutical Co Ltd
company_wuxi_apptec_shanghai_co_ltd,Wuxi Apptec (Shanghai) Co Ltd
company_takeda_pharmaceutical_co_limited,Takeda Pharmaceutical Co Limited
company_alectos_therapeutics_inc,Alectos Therapeutics Inc
company_ajou_university,Ajou University
company_eli_lilly_co,Eli Lilly & Co
company_amgen_inc,Amgen Inc
company_vigil_neurosciences,Vigil Neurosciences
company_psilera_inc,Psilera Inc
company_dartmouth_college,Dartmouth College
company_kaerus_bioscience_ltd,Kaerus Bioscience Ltd
company_jagiellonian_university,Jagiellonian University
company_caamtech_llc,CaaMTech LLC
company_centre_national_de_la_recherche_scientifique,Centre National de la Recherche Scientifique
company_centre_de_recherches_du_service_de_sante_des_armees_crssa,Centre de Recherches du Service de Sante des Armees (CRSSA)
company_etat-francais_repr_sent_par_le_d_l_gu_g_n_ral_pour_l_armement,Etat-Francais Représenté Par Le Délégué Général Pour L'Armement
company_universit_de_strasbourg,Université de Strasbourg
company_galimedix_therapeutics_inc,Galimedix Therapeutics Inc
company_baylor_college_of_medicine,Baylor College of Medicine
company_shanghai_institute_of_pharmaceutical_industry,Shanghai Institute of Pharmaceutical Industry
company_shanghai_zhongze_therapeutics_co_ltd,Shanghai Zhongze Therapeutics Co Ltd
company_sanofi_sa,Sanofi SA
company_keio_university,Keio University
company_catholic_university_of_korea,Catholic University of Korea
company_yumanity_therapeutics,Yumanity Therapeutics
company_autobahn_therapeutics,Autobahn Therapeutics
company_curasen_therapeutics_inc,CuraSen Therapeutics Inc
company_roche_innovation_center_copenhagen_a_s,Roche Innovation Center Copenhagen A/S
company_delix_therapeutics_inc,Delix Therapeutics Inc
company_novartis_ag,Novartis AG
company_massachusetts_institute_of_technology,Massachusetts Institute of Technology
company_mount_sinai_medical_center,Mount Sinai Medical Center
company_blacksmith_medicines_inc,Blacksmith Medicines Inc
company_eleusis_therapeutics_us_inc,Eleusis Therapeutics US Inc
company_apeejay_stya_university,Apeejay Stya University
company_university_of_tennessee,University of Tennessee
company_ac_immune_sa,AC Immune SA
company_individual,Individual
company_intra-cellular_therapies_inc,Intra-Cellular Therapies Inc
company_beijing_greatway_pharmaceutical_technology_co_ltd,Beijing Greatway Pharmaceutical Technology Co Ltd
company_neusco_biotech_ltd,Neusco Biotech Ltd
company_takeda_pharmaceutical_co_ltd,Takeda Pharmaceutical Co Ltd
company_merck_sharp_dohme_corp,Merck Sharp & Dohme Corp
company_city_university_of_hong_kong,City University of Hong Kong
company_shy_therapeutics_llc,Shy Therapeutics Llc
company_korea_institute_of_science_and_technology,Korea Institute of Science and Technology
company_alzmed_inc,Alzmed Inc
company_spirify_pharma_inc,Spirify Pharma Inc
company_aarhus_university,Aarhus University
company_jiangsu_hengrui_medicine_co_ltd,Jiangsu Hengrui Medicine Co Ltd
company_shanghai_hengrui_pharmaceutical_co_ltd,Shanghai Hengrui Pharmaceutical Co Ltd
company_kyungpook_national_university,Kyungpook National University
company_miraebiopharm,Miraebiopharm
company_topadur_pharma_ag,Topadur Pharma AG
company_prosetta_biosciences_inc,Prosetta Biosciences Inc
company_crescenta_biosciences,Crescenta Biosciences
company_mount_sinai_school_of_medicine,Mount Sinai School of Medicine
company_kallyope_inc,Kallyope Inc
company_sage_therapeutics_inc,Sage Therapeutics Inc
company_corcept_therapeutics_inc,Corcept Therapeutics Inc
company_alchemedicine_inc,Alchemedicine Inc
company_university_of_bath,University of Bath
company_universite_de_franche-comte,Universite De Franche-Comte
company_universite_de_limoges,Universite de Limoges
company_red_bull_gmbh,Red Bull Gmbh
company_guangzhou_hengnuokang_pharmaceutical_technology_co_ltd,Guangzhou Hengnuokang Pharmaceutical Technology Co Ltd
company_guangzhou_henovcom_bioscience_co_ltd,Guangzhou Henovcom Bioscience Co Ltd
company_pharmaxis_ltd,Pharmaxis Ltd
company_abm_therapeutics_corp,Abm Therapeutics Corp
company_teva_pharmaceuticals_international_gmbh,Teva Pharmaceuticals International Gmbh
company_teva_pharmaceuticals_usa_inc,Teva Pharmaceuticals USA Inc
company_biogen_ma_inc,Biogen MA Inc
company_zhimeng_biopharma,ZhiMeng Biopharma
company_gempharmatech_co_ltd,Gempharmatech Co Ltd
company_so_young_life_sciences_corp,So Young Life Sciences Corp
company_jiangsu_hansoh_pharmaceutical_group_co_ltd,Jiangsu Hansoh Pharmaceutical Group Co Ltd
company_shanghai_hansoh_biomedical_co_ltd,Shanghai Hansoh Biomedical Co Ltd
company_f_hoffmann-la_roche_ag,F Hoffmann-La Roche AG
company_hoffmann-la_roche_inc,Hoffmann-La Roche Inc
company_denali_therapeutics_inc,Denali Therapeutics Inc
company_minerva_neurosciences_inc,Minerva Neurosciences Inc
company_michigan_state_university,Michigan State University
company_stanford_university,Stanford University
company_guangdong_hec_pharmaceutical_co_ltd,Guangdong HEC Pharmaceutical Co Ltd
company_tactogen_inc,Tactogen Inc
company_boehringer_ingelheim_international_gmbh,Boehringer Ingelheim International GmbH
company_university_of_arizona,University of Arizona
company_mercer_university,Mercer University
company_kanaph_therapeutics_inc,Kanaph Therapeutics Inc
company_korea_research_institute_of_chemical_technology,Korea Research Institute of Chemical Technology
company_bioradical_research_institute_corp,Bioradical Research Institute Corp
company_1st_bio_therapeutics_inc,1ST Bio Therapeutics Inc
company_cybin_irl_ltd,Cybin Irl Ltd
company_peking_university,Peking University
company_dewpoint_therapeutics_inc,Dewpoint Therapeutics Inc
company_fibrogen_inc,FibroGen Inc
company_shiga_university_of_medical_science,Shiga University of Medical Science
company_quretech_bio_ab,Quretech Bio Ab
company_f_hoffmann-la_roche_ltd,F Hoffmann-La Roche Ltd
company_shanghai_bozhi_research_of_new_drugs_technology_co_ltd,Shanghai Bozhi Research Of New Drugs Technology Co Ltd
company_abbisko_therapeutics_co_ltd,Abbisko Therapeutics Co Ltd
company_shenzhen_ruijian_bioscience_technology_ltd_co,Shenzhen Ruijian Bioscience Technology Ltd Co
company_university_of_southern_california,University of Southern California
company_teon_therapeutics_inc,Teon Therapeutics Inc
company_florida_international_university,Florida International University
company_national_institutes_of_health,National Institutes of Health
company_heptares_therapeutics_ltd,Heptares Therapeutics Ltd
company_janssen_pharmaceutica_nv,Janssen Pharmaceutica NV
company_landos_biopharma_inc,Landos Biopharma Inc
company_carna_biosciences_inc,Carna Biosciences Inc
company_sumitomo_dainippon_pharma_co_ltd,Sumitomo Dainippon Pharma Co Ltd
company_istituto_europeo_di_oncologia_srl,Istituto Europeo di Oncologia SrL
company_istituto_firc_di_oncologia_molecolare,Istituto FIRC di Oncologia Molecolare
company_universita_degli_studi_di_milano,Universita degli Studi di Milano
company_hutchison_medipharma_enterprises_ltd,Hutchison Medipharma Enterprises Ltd
company_nura_bio_inc,Nura Bio Inc
company_snu_r_db_foundation,SNU R & DB Foundation
company_raqualia_pharma_inc,RaQualia Pharma Inc
company_neuropore_therapies_inc,Neuropore Therapies Inc
company_daegu_gyeongbuk_institute_of_science_technology,Daegu Gyeongbuk Institute Of Science & Technology
company_gachon_university_gil_medical_center,Gachon University Gil Medical Center
company_kyoto_university,Kyoto University
company_ermium_therapeutics_sas,Ermium Therapeutics SAS
company_universit_de_paris,Université De Paris
company_genfleet_therapeutics,GenFleet Therapeutics
company_zhejiang_genfleet_therapeutics_co_ltd,Zhejiang Genfleet Therapeutics Co Ltd
company_unixell_biotechnology,Unixell Biotechnology
company_chungbuk_national_university_industry-academic_cooperation_foundation,Chungbuk National University Industry-Academic Cooperation Foundation
company_cng_bio_co_ltd,Cng Bio Co Ltd
company_gachon_university_of_industry-academic_cooperation_foundation,Gachon University Of Industry-Academic Cooperation Foundation
company_china_hinye_pharmaceutical_co_ltd,China Hinye Pharmaceutical Co Ltd
company_university_of_alberta,University of Alberta
company_bristol-myers_squibb_co,Bristol-Myers Squibb Co
company_vistagen_therapeutics_inc,VistaGen Therapeutics Inc
company_ohio_state_innovation_foundation,Ohio State Innovation Foundation
company_reaction_biology_corp,Reaction Biology Corp
company_johns_hopkins_university,Johns Hopkins University
company_animuscure_co_ltd,Animuscure Co Ltd
company_university_college_cardiff_consultants_ltd,University College Cardiff Consultants Ltd
company_texas_a_m_university_system,Texas A&M University System
company_lysoway_therapeutics_inc,Lysoway Therapeutics Inc
company_curome_biosciences_co_ltd,Curome Biosciences Co Ltd
company_kures_inc,Kures Inc
company_european_molecular_biology_laboratory,European Molecular Biology Laboratory
company_broad_institute_inc,Broad Institute Inc
company_harvard_university,Harvard University
company_yale_university,Yale University
company_gen1e_lifesciences_inc,GEn1E Lifesciences Inc
company_pelagos_pharmaceuticals_inc,Pelagos Pharmaceuticals Inc
company_st_louis_university,St Louis University
company_auburn_university,Auburn University
company_korea_basic_science_institute,Korea Basic Science Institute
company_praxis_precision_medicines_inc,Praxis Precision Medicines Inc
company_trevena_inc,Trevena Inc
company_chong_kun_dang_pharmaceutical_corp,Chong Kun Dang Pharmaceutical Corp
company_syndesi_therapeutics_nv,Syndesi Therapeutics NV
company_armgo_pharma_inc,Armgo Pharma Inc
company_arisan_therapeutics_inc,Arisan Therapeutics Inc
company_medifron_dbt_inc,Medifron Dbt Inc
company_sogang_university,Sogang University
company_voronoi,Voronoi
company_medimmune_ltd,MedImmune Ltd
company_lian_v_nantong_co_ltd,Lian V Nantong Co Ltd
company_shanghai_institute_of_materia_medica_of_the_chinese_academy_of_sciences,Shanghai Institute of Materia Medica of the Chinese Academy of Sciences
company_topharman_shanghai_co_ltd,Topharman Shanghai Co Ltd
company_shape_therapeutics_inc,Shape Therapeutics Inc
company_sungkyunkwan_university,Sungkyunkwan University
company_osaka_university,Osaka University
company_abbvie_deutschland_gmbh_co_kg,AbbVie Deutschland GmbH & Co KG
company_university_of_tokyo,University of Tokyo
company_taisho_pharmaceutical_co_ltd,Taisho Pharmaceutical Co Ltd
company_jiangxi_jimin_kexin_pharmaceutical_co_ltd,Jiangxi Jimin Kexin Pharmaceutical Co Ltd
company_shanghai_jemincare_pharmaceuticals_co_ltd,Shanghai Jemincare Pharmaceuticals Co Ltd
company_scimount_biotechnology_shenzhen_co_ltd,SciMount Biotechnology (Shenzhen) Co Ltd
company_national_institute_of_immunology,National Institute of Immunology
company_arkuda_therapeutics,Arkuda Therapeutics
company_the_lieber_institute_for_brain_development,The Lieber Institute For Brain Development
company_ucb_biopharma_sprl,UCB Biopharma SPRL
company_palacky_university,Palacky University
company_celgene_corporation,Celgene Corporation
company_university_of_texas_system,University of Texas System
company_yokohama_city_university,Yokohama City University
company_satake_multimix_corp,Satake Multimix Corp
company_kyung_hee_university_industry-academic_cooperation_foundation,Kyung Hee University Industry-Academic Cooperation Foundation
company_nalu_bio_inc,Nalu Bio Inc
company_new_atlas_biotechnologies_llc,New Atlas Biotechnologies LLC
company_scripps_research_institute,Scripps Research Institute
company_vova_ida_therapeutics_inc,Vova Ida Therapeutics Inc
company_ifm_due,IFM Due
company_jackson_laboratory,Jackson Laboratory
company_good_t_cells_inc,Good T Cells Inc
company_h_lundbeck_a_s,H Lundbeck A/S
company_gritscience_biopharmaceuticals_co_ltd,Gritscience Biopharmaceuticals Co Ltd
company_shenzhen_institute_of_advanced_technology,Shenzhen Institute Of Advanced Technology
company_university_of_sydney,University of Sydney
company_texas_tech_university,Texas Tech University
company_crystal_pharmatech_co_ltd,Crystal Pharmatech Co Ltd
company_university_of_science_technology_of_china,University of Science & Technology of China
company_university_of_manitoba,University of Manitoba
company_jiangsu_nuo-beta_pharmaceutical_technology_co_ltd,Jiangsu Nuo-Beta Pharmaceutical Technology Co Ltd
company_sunshine_lake_pharma,Sunshine Lake Pharma
company_dongguk_university,Dongguk University
company_shionogi_co_ltd,Shionogi & Co Ltd
company_the_general_hospital_corporation,The General Hospital Corporation
company_huscion_co_ltd,Huscion Co Ltd
company_alpha_cognition_inc,Alpha Cognition Inc
company_georgetown_university,Georgetown University
company_escape_bio_inc,ESCAPE Bio Inc
company_beckley_psytech,Beckley Psytech
company_national_institutes_of_pharmaceutical_research_development,National Institutes of Pharmaceutical Research & Development
company_tufts_university,Tufts University
company_medshine_discovery_inc,Medshine Discovery Inc
company_bar_ilan_university,Bar Ilan University
company_cedilla_therapeutics_inc,Cedilla Therapeutics Inc
company_shanghai_haiyan_pharmaceutical_technology_co_ltd,Shanghai Haiyan Pharmaceutical Technology Co Ltd
company_yangtze_river_pharmaceutical_group,Yangtze River Pharmaceutical Group
company_center_for_excellence_in_molecular_cell_science_chinese_academy_of_sciences,Center For Excellence In Molecular Cell Science Chinese Academy Of Sciences
company_shanghai_institute_of_technology,Shanghai Institute of Technology
company_biosynth_ag,Biosynth Ag
company_shanxi_medical_university,Shanxi Medical University
company_czech_national_institute_of_mental_health,Czech National Institute of Mental Health
company_fakutn_nemocnice_hradec_kr_lov,Fakutní Nemocnice Hradec Králové
company_fyziologicky_ustav_akademie_ved_cr_vvi,Fyziologicky Ustav Akademie Ved Cr Vvi
company_institute_of_experimental_medicine_as_cr_v_v_i,Institute of Experimental Medicine AS CR v.v.i.
company_columbia_university,Columbia University
company_high_point_university,High Point University
company_mitobridge_inc,Mitobridge Inc
company_marvel_biotechnology_inc,Marvel Biotechnology Inc
company_aliad_biopharma_co_ltd,Aliad Biopharma Co Ltd
company_state_university_of_new_york,State University of New York
company_recovery_therapeutics_inc,Recovery Therapeutics Inc
company_shanghai_institute_of_organic_chemistry,Shanghai Institute of Organic Chemistry
company_zai_lab_ltd,Zai Lab Ltd
company_avva_pharmaceuticals_ltd,AVVA Pharmaceuticals Ltd
company_whanin_pharmaceutical_co_ltd,WhanIn Pharmaceutical Co Ltd
company_aluda_pharmaceuticals_inc,Aluda Pharmaceuticals Inc
company_luoda_biosciences_inc,Luoda Biosciences Inc
company_aptabio_therapeutics_inc,Aptabio Therapeutics Inc
company_biohaven_pharmaceutical_holding_co_ltd,Biohaven Pharmaceutical Holding Co Ltd
company_vincere_biosciences_inc,Vincere Biosciences Inc
company_university_of_north_texas,University of North Texas
company_akershus_university_hospital,Akershus University Hospital
company_zhejiang_university,Zhejiang University
company_jinan_university_guangdong,Jinan University (Guangdong)
company_us_department_of_veterans_affairs,US Department of Veterans Affairs
company_brigham_women_s_hospital_inc,Brigham & Women's Hospital Inc
company_rti_international,RTI International
company_dongguan_hec_cordyceps_r_d_co_ltd,Dongguan Hec Cordyceps R&D Co Ltd
company_mindset_pharma_inc,Mindset Pharma Inc
company_university_of_pittsburgh,University of Pittsburgh
company_cadent_therapeutics_inc,Cadent Therapeutics Inc
company_halia_therapeutics_inc,Halia Therapeutics Inc
company_arizona_state_university,Arizona State University
company_mitochondria_emotion_inc,Mitochondria Emotion Inc
company_neurocrine_biosciences_inc,Neurocrine Biosciences Inc
company_standigm,Standigm
company_bertis_co_ltd,Bertis Co Ltd
company_korea_university_foundation,Korea University Foundation
company_yuhan_corporation,Yuhan Corporation
company_brown_university,Brown University
company_university_of_michigan,University of Michigan
company_university_of_illinois,University of Illinois
company_rapt_therapeutics_inc,RAPT Therapeutics Inc
company_merck_co_inc,Merck & Co Inc
company_hk_inno_n_corp,HK inno.N Corp
company_md_biolab_co_ltd,MD Biolab Co Ltd
company_leitat_technological_center,LEITAT Technological Center
company_sironax_ltd,Sironax Ltd
company_biofront_ltd,Biofront Ltd
company_tohoku_university,Tohoku University
company_kalvista_pharmaceuticals_ltd_pre-merger,KalVista Pharmaceuticals Ltd (Pre-merger)
company_fujifilm_holdings_corp,FUJIFILM Holdings Corp
company_altos_labs_inc,Altos Labs Inc
company_shujing_biopharma_co_ltd,Shujing Biopharma Co Ltd
company_blue_oak_pharmaceuticals_inc,Blue Oak Pharmaceuticals Inc
company_morinaga_milk_industry_co_ltd,Morinaga Milk Industry Co Ltd
company_gilgamesh_pharmaceuticals_inc,Gilgamesh Pharmaceuticals Inc
company_fujifilm_cellular_dynamics_inc,Fujifilm Cellular Dynamics Inc
company_diamond_therapeutics_inc,Diamond Therapeutics Inc
company_lophora_aps,Lophora ApS
company_2n_pharma_aps,2N Pharma ApS
company_arcus_biosciences_inc,Arcus Biosciences Inc
company_cornell_university,Cornell University
company_dana-farber_cancer_institute_inc,Dana-Farber Cancer Institute Inc
company_remedy_plan_therapeutics,Remedy Plan Therapeutics
company_medical_college_of_wisconsin,Medical College of Wisconsin
company_saint_joseph_s_university,Saint Joseph's University
company_university_of_south_carolina,University of South Carolina
company_o-force_co_ltd,O-Force Co Ltd
company_chengdu_baiyu_pharmaceutical_co_ltd,Chengdu Baiyu Pharmaceutical Co Ltd
company_opna_bio_ag,Opna Bio AG
company_ocean_university_of_china,Ocean University of China
company_de_shaw_research,DE Shaw Research
company_atai_life_sciences_ag,ATAI Life Sciences AG
company_regain_therapeutics_sweden_ab,Regain Therapeutics Sweden Ab
company_bright_minds_biosciences_inc,Bright Minds Biosciences Inc
company_ucl_business_plc,UCL Business PLC
company_tasly_pharmaceutical_group_co_ltd,Tasly Pharmaceutical Group Co Ltd
company_shanghai_raising_pharmaceutical_co_ltd,Shanghai Raising Pharmaceutical Co Ltd
company_sun_yat-sen_university,Sun Yat-Sen University
company_rome_therapeutics_inc,ROME Therapeutics Inc
company_universita_degli_studi_di_napoli_federico_ii,Universita degli Studi di Napoli Federico II
company_sitryx_therapeutics_ltd,Sitryx Therapeutics Ltd
company_insilico_medicine_hong_kong_ltd,Insilico Medicine Hong Kong Ltd
company_wuhan_iregene_pharmaceutical_technology_co_ltd,Wuhan iRegene Pharmaceutical Technology Co Ltd
company_acer_therapeutics_inc,Acer Therapeutics Inc
company_4e_therapeutics_inc,4E Therapeutics Inc
company_zomagen_biosciences_ltd,Zomagen Biosciences Ltd
company_insightec_ltd,InSightec Ltd
company_kintsugi_therapeutics_sl,Kintsugi Therapeutics SL
company_eth_z_rich,ETH Zürich
company_zedira_gmbh,Zedira GmbH
company_sichuan_university,Sichuan University
company_northwestern_university,Northwestern University
company_northeastern_university,Northeastern University
company_genentech_inc,Genentech Inc
company_acadia_pharmaceuticals_inc,Acadia Pharmaceuticals Inc
company_fudan_university,Fudan University
company_louisiana_state_agricultural_mechanical_college,Louisiana State & Agricultural & Mechanical College
company_ptc_therapeutics_inc,PTC Therapeutics Inc
company_university_of_connecticut,University of Connecticut
company_sumitomo_pharma_co_ltd,Sumitomo Pharma Co Ltd
company_university_of_limerick,University Of Limerick
company_deutsches_zentrum_f_r_neurodegenerative_erkrankungen,Deutsches Zentrum für Neurodegenerative Erkrankungen
company_theranocure_co_ltd,Theranocure Co Ltd
company_shimadzu_corp,Shimadzu Corp
company_jiangsu_zhengda_fenghai_pharmaceutical_co_ltd,Jiangsu Zhengda Fenghai Pharmaceutical Co Ltd
company_otsuka_pharmaceutical_co_ltd,Otsuka Pharmaceutical Co Ltd
company_tsinghua_university,Tsinghua University
company_yichang_humanwell_pharmaceutical_co_ltd,Yichang Humanwell Pharmaceutical Co Ltd
company_university_of_north_carolina_greensboro,University of North Carolina Greensboro
company_jiangsu_nhwa_pharmaceutical_co_ltd,Jiangsu Nhwa Pharmaceutical Co Ltd
company_mydecine_llc,Mydecine LLC
company_ku_leuven_r_d,KU Leuven R&D
company_vlaams_instituut_voor_biotechnologie_vzw,Vlaams Instituut voor Biotechnologie VZW
company_vrije_universiteit_brussel,Vrije Universiteit Brussel
company_shanghai_simr_biotech_co_ltd,Shanghai SIMR Biotech Co Ltd
company_shanghai_simrd_biotech_co_ltd,Shanghai SIMRD Biotech Co Ltd
company_mitokinin_inc,Mitokinin Inc
company_university_of_mississippi,University of Mississippi
company_industry-university_cooperation_foundation_hanyang_university,Industry-University Cooperation Foundation Hanyang University
company_university_of_maryland_baltimore,University Of Maryland Baltimore
company_pic_therapeutics,Pic Therapeutics
company_alexander_shulgin_research_institute,Alexander Shulgin Research Institute
company_galyan_bio_inc,GALYAN BIO INC
company_ecole_nationale_superieure_de_chimie_de_montpellier,Ecole Nationale Superieure de Chimie de Montpellier
company_mt-act_sas,MT-act SAS
company_universit_de_montpellier,Université de Montpellier
company_hangzhou_healzen_therapeutics_co_ltd,Hangzhou Healzen Therapeutics Co Ltd
company_hangzhou_hertz_pharmaceutical_co_ltd,Hangzhou Hertz Pharmaceutical Co Ltd
company_artivila_therapeutics_shenzhen_co_ltd,Artivila Therapeutics (Shenzhen) Co Ltd
company_chirogate_international_inc,Chirogate International Inc
company_terran_biosciences,Terran Biosciences
company_sanofi_genzyme,Sanofi Genzyme
company_remix_therapeutics,Remix Therapeutics
company_university_of_wisconsin-madison,University of Wisconsin-Madison
company_cerespir_inc,CereSpir Inc
company_japan_tobacco_inc,Japan Tobacco Inc
company_pfizer_inc,Pfizer Inc
company_axxam_spa,Axxam SpA
company_insusense_aps,Insusense Aps
company_zhejiang_wenda_pharma_technology_ltd,Zhejiang Wenda Pharma Technology Ltd
company_st_andrews_university,St Andrews University
company_academia_sinica,Academia Sinica
company_chang_gung_memorial_hospital,Chang Gung Memorial Hospital
company_taipei_veterans_general_hospital,Taipei Veterans General Hospital
company_centre_for_addiction_and_mental_health,Centre for Addiction and Mental Health
company_uwm_research_foundation_inc,UWM Research Foundation Inc
company_gismo_therapeutics_inc,Gismo Therapeutics Inc
company_chonbuk_national_university,Chonbuk National University
company_chonbuk_national_university_industry_cooperation_foundation,Chonbuk National University Industry Cooperation Foundation
company_chonnam_national_university,Chonnam National University
company_konkuk_university,Konkuk University
company_neuroventi,Neuroventi
company_fundaci_n_para_la_investigaci_n_biom_dica_del_hospital_de_la_princesa,Fundación Para La Investigación Biomédica Del Hospital De La Princesa
company_spanish_national_research_council,Spanish National Research Council
company_johannes_gutenberg_universitat_mainz,Johannes Gutenberg Universitat Mainz
company_universit_tsmedizin_der_johannes_gutenberg-universit_t_mainz,Universitätsmedizin der Johannes Gutenberg-Universität Mainz
company_suzhou_kintor_pharmaceuticals_inc,Suzhou Kintor Pharmaceuticals Inc
company_3+2_pharma,3+2 Pharma
company_duke_university,Duke University
