compound_id,name
compound_150-d-4,150-D-4
compound_a-19006,A-19006
compound_nh-k-a-19006,NH-K-A-19006
compound_montelukast,Montelukast
compound_pexidartinib,Pexidartinib
compound_pranlukast,Pranlukast
compound_nm-152,NM-152
compound_bethanechol,Bethanechol
compound_ro-7248824,RO-7248824
compound_aducanumab,Aducanumab
compound_nch-51,NCH-51
compound_psilocin_benzoate,Psilocin benzoate
compound_donepezil,Donepezil
compound_lenrispodun_phosphate,Lenrispodun phosphate
compound_mmb-11903-b,MMB-11903-B
compound_bigi-bih-d-8,BIGI-BIH-D-8
compound_bigi-3-h,BIGI-3-h
compound_bigi-21,BIGI-21
compound_fezolinetant,fezolinetant
compound_fezolinetant-xinafoate,Fezolinetant-Xinafoate
compound_biib-113,BIIB-113
compound_pterostilbene,Pterostilbene
compound_gabapentin,gabapentin
compound_superoxide_dismutase,Superoxide dismutase
compound_cyb-2108-d,CYB-2108-D
compound_cariprazine,cariprazine
compound_cariprazine-pamoate,Cariprazine-Pamoate
compound_methoxyamine,Methoxyamine
compound_pimagedine,pimagedine
compound_obeticholate,Obeticholate
compound_tt-702,TT-702
compound_ciprofloxacin,ciprofloxacin
compound_levofloxacin,Levofloxacin
compound_nx-64-3,NX-64-3
compound_ulotaront,ulotaront
compound_sep-363856-fumarate,SEP-363856-Fumarate
compound_none-given,None-Given
compound_vorinostat,Vorinostat
compound_sb-1617,SB-1617
compound_rebamipide,Rebamipide
compound_l-4-chlorokynurenine,L-4-chlorokynurenine
compound_chlorokynurenine,Chlorokynurenine
compound_5-meo-dmt,5-MeO-DMT
compound_aaz-a-154,AAZ-A-154
compound_pw-0781,PW-0781
compound_alaproclate,Alaproclate
compound_a-03,A-03
compound_gen1e-1124,GeN1e-1124
compound_cdd-1487,CDD-1487
compound_18f-jhu-16907,18F-JHU-16907
compound_kds12025,KDS12025
compound_trv-250,TRV-250
compound_trv-250_subcutaneous_episodic_migraine_trevena,"TRV-250 (subcutaneous, episodic migraine), Trevena"
compound_donepezil-ether-palmitate,Donepezil-Ether-Palmitate
compound_caffeine,Caffeine
compound_iclepertin,Iclepertin
compound_sr-57227a,SR-57227A
compound_sg-001,SG-001
compound_sr-32688,SR-32688
compound_sting_antagonists_inflammatory_autoimmune_diseases_ifm_due_novartis,"STING antagonists (inflammatory/autoimmune diseases), IFM Due/ Novartis"
compound_seltorexant,seltorexant
compound_rrx-001,RRX-001
compound_aripiprazole,aripiprazole
compound_alpha-1062_oral,"Alpha-1062, oral"
compound_alpha-1062-gluconate,Alpha-1062-Gluconate
compound_sr-35729,SR-35729
compound_bk-50118-c,BK-50118-C
compound_buprenorphine,Buprenorphine
compound_clozapine,clozapine
compound_diazepam,diazepam
compound_sr-30010,SR-30010
compound_nicotinamide,nicotinamide
compound_jmm-001,JMM-001
compound_hn-1703,HN-1703
compound_tideglusib,tideglusib
compound_tideglusib-proline,Tideglusib-Proline
compound_ns-1738,NS-1738
compound_doconexent,doconexent
compound_docosahexaenoate,Docosahexaenoate
compound_rtioxa-47,RTIOXA-47
compound_cl-2-57,CL-2-57
compound_cj-15314,CJ-15314
compound_ha-95,HA-95
compound_lox-12-001,LOX-12-001
compound_kur-101,KUR-101
compound_deuteromitragynine-glycolate,Deuteromitragynine-Glycolate
compound_lph-5,LPH-5
compound_vmat2_inhibitor_schizophrenia_movement_disorder_neurocrine_biosciences,"VMAT2 inhibitor (schizophrenia/movement disorder), Neurocrine Biosciences"
compound_kw-05226,KW-05226
compound_i-t-2108,I-T-2108
compound_cometriq,Cometriq
compound_lapatinib,Lapatinib
compound_cabozantinib,Cabozantinib
compound_xl-184,XL-184
compound_dimethyltryptamine,dimethyltryptamine
compound_dmt-succinate,DMT-Succinate
compound_rs-39,RS-39
compound_osanetant,osanetant
compound_osanetant-2-naphthylsulfonate,Osanetant-2-Naphthylsulfonate
compound_nu-9,NU-9
compound_galantamine,galantamine
compound_memantine,memantine
compound_trofinetide_oral_mild_tbi_rett_syndrome_fragile_x_syndrome_neuren_acadia,"trofinetide (oral, mild TBI/Rett syndrome/fragile X syndrome), Neuren/ ACADIA"
compound_trofinetide-dihydarte,Trofinetide-Dihydarte
compound_desilux,Desilux
compound_iloperidone,Iloperidone
compound_brexanolone,brexanolone
compound_dizocilpine_maleate,dizocilpine maleate
compound_mk-801,MK-801
compound_dizocilpine-maleate,Dizocilpine-Maleate
compound_valbenazine,valbenazine
compound_nbi-750142,NBI-750142
compound_rugonersen_sodium,rugonersen sodium
compound_carboprost,carboprost
compound_carboprost-tromethamine,Carboprost-Tromethamine
compound_asr-3004,ASR-3004
compound_itanapraced,itanapraced
compound_itanapraced-nicotinamide,Itanapraced-Nicotinamide
compound_danuglipron_tromethamine,danuglipron tromethamine
compound_danuglipron-tromethamine,Danuglipron-Tromethamine
compound_gl-iii-68,GL-III-68
compound_valine,valine
compound_taurine,taurine
compound_gt-20029,GT-20029
compound_sage-421,SAGE-421
compound_sage-904,SAGE-904
compound_dalzanemdor,dalzanemdor
compound_mjk-2134025,MJK-2134025
compound_mkv-3,MKV-3
compound_msu-43864_or_ksl-0007,MSU-43864 or KSL-0007
compound_arketamine_neuropsychiatric_disorders_depression_perception_neuroscience_chiba_university,"arketamine (neuropsychiatric disorders/depression), Perception Neuroscience/Chiba University"
compound_ketamine-saccharin,Ketamine-Saccharin
compound_xanomeline,Xanomeline
compound_olorinab,Olorinab
compound_brexpiprazole,brexpiprazole
compound_brexpiprazole-potassium-bromide-dihydrate,Brexpiprazole-Potassium-Bromide-Dihydrate
compound_sir-0365,SIR-0365
compound_+_-pilocarpine,(+)-pilocarpine
compound_pilocarpine,Pilocarpine
compound_ambroxol,Ambroxol
compound_mesembrine,mesembrine
compound_betulinic_acid,betulinic acid
compound_mesembrine-valerenate,Mesembrine-Valerenate
compound_alstonine-benzenesulfonate,Alstonine-Benzenesulfonate
compound_methylone,methylone
compound_methylone-hydrochloride,Methylone-Hydrochloride
compound_tabernanthalog,Tabernanthalog
compound_tabernanthalog-fumarate-hydrate,Tabernanthalog-Fumarate-Hydrate
compound_kb-3147,KB-3147
compound_psilocybine,psilocybine
compound_psilocybin-hydrochloride,Psilocybin-Hydrochloride
compound_aprocitentan,aprocitentan
compound_aprocitentan-potassium,Aprocitentan-Potassium
compound_act-132577-potassium,ACT-132577-Potassium
compound_curcumin,curcumin
compound_curcumin-ferulate,Curcumin-Ferulate
compound_nemonapride,Nemonapride
compound_ketanserin,Ketanserin
compound_ketanserin-tartrate,Ketanserin-Tartrate
compound_psilocin-lactate,Psilocin-Lactate
compound_ent-01,ENT-01
compound_squalamine,squalamine
compound_squalamine-phosphate,Squalamine-Phosphate
compound_eclitasertib,Eclitasertib
compound_cyb-004,CYB-004
compound_cyb-004_intravenous_generalized_anxiety_disorder_cybin,"CYB-004 (intravenous, generalized anxiety disorder), Cybin"
compound_n_n-dimethyltryptamine,"N,N-dimethyltryptamine"
compound_varubi,Varubi
compound_rolapitant_oral_tesaro,"rolapitant (oral), TESARO"
compound_cenobamate,Cenobamate
compound_monlunabant,monlunabant
compound_prx-3140,PRX-3140
compound_prx-3140-potassium,PRX-3140-Potassium
compound_tr-01-xrr,TR-01-XRR
compound_idazoxan,idazoxan
compound_tetrabenazine,Tetrabenazine
compound_seltorexant-hydrochloride,Seltorexant-Hydrochloride
compound_3-mp,3-MP
compound_cariprazine-bisxinafoate,Cariprazine-Bisxinafoate
compound_vitamin_d,vitamin D
compound_aticaprant,aticaprant
compound_aticaprant-tetrahydrofuran,Aticaprant-Tetrahydrofuran
compound_bios-b-18,BIOS-B-18
compound_bios-a-3,BIOS-A-3
compound_bms-984923,BMS-984923
compound_dacogen,Dacogen
compound_decitabine,Decitabine
compound_levodopa,levodopa
compound_vilazodone,vilazodone
compound_vilazodone-docusate,Vilazodone-Docusate
compound_jpc-0323,JPC-0323
compound_bnh-12001,BnH-12001
compound_glb-7,GLB-7
compound_vortioxetine_hydrobromide,vortioxetine hydrobromide
compound_vortioxetine-hydrobromide-resveratrol,Vortioxetine-Hydrobromide-Resveratrol
compound_mebufotenin,mebufotenin
compound_mebufotenin_intranasal_psychiatric_neurological_disorders_gh_research,"mebufotenin (intranasal, psychiatric/neurological disorders), GH Research"
compound_mebufotenin_iv_psychiatric_neurological_disorders_gh_research,"mebufotenin (iv, psychiatric/neurological disorders), Gh Research"
compound_adrixetinib,adrixetinib
compound_adrixetinib-hydrochloride,Adrixetinib-Hydrochloride
compound_q-702-hydrochloride,Q-702-Hydrochloride
compound_osimertinib,osimertinib
compound_iri-n-19001,IRI-N-19001
compound_blarcamesine_hydrochloride,blarcamesine hydrochloride
compound_blarcamesine-hydrochloride-tartrate,Blarcamesine-Hydrochloride-Tartrate
compound_cd-i-410,CD-I-410
compound_pep-011,PEP-011
compound_az-5104,AZ-5104
compound_fem-1689,FEM-1689
compound_ac-2626,AC-2626
compound_jgb-1-15,JGB-1-15
compound_sre-iii-35,SRE-III-35
compound_nefazodone,nefazodone
compound_nefazodone-d-4,Nefazodone-D-4
compound_nucc-0200590,NUCC-0200590
compound_zandatrigine,Zandatrigine
compound_wx-02-37,WX-02-37
compound_zc-311,ZC-311
compound_aprocitentan-sodium,Aprocitentan-Sodium
compound_act-132577-sodium,ACT-132577-Sodium
compound_psilocybin,Psilocybin
compound_entinostat,Entinostat
compound_bg-147,BG-147
compound_rg-7816,RG-7816
compound_alogabat,Alogabat
compound_ent-19,ENT-19
compound_dcm-oh-2-dt,DCM-OH-2-DT
compound_mesembrine-tartrate,Mesembrine-Tartrate
compound_clm-022,CLM-022
compound_dalzanemdor-monohydrate,Dalzanemdor-Monohydrate
compound_nrb-025,NRB-025
compound_sar-443820,SAR-443820
compound_biib-124,BIIB-124
compound_sage-324,SAGE-324
compound_estradiol,Estradiol
compound_jh-001,JH-001
compound_benfotiamine,benfotiamine
compound_benfotiamine-choline,Benfotiamine-Choline
compound_khk-2455,KHK-2455
compound_valiloxybate,Valiloxybate
compound_ag-09,AG-09
compound_nepicastat,nepicastat
compound_nepicastat-hydrochloride,Nepicastat-Hydrochloride
compound_nt-0796,NT-0796
compound_nh-102,NH-102
compound_slb-0605,SLB-0605
compound_tia-05-178,TIA-05-178
compound_lr-2-185,LR-2-185
compound_nrb-050,NRB-050
compound_nrb-181,NRB-181
compound_spn-820,SPN-820
compound_spn-820-lithium-chloride,SPN-820-Lithium-Chloride
compound_ec-5026,EC-5026
compound_nobiletin,nobiletin
compound_vb-574,VB-574
compound_ucab-987,UCAB-987
compound_quinoline_analogs,quinoline analogs
compound_elg-000507,ELG-000507
compound_ha-228,HA-228
compound_mey-003,MEY-003
compound_blarcamesine-hydrochloride-zinc-chloride,Blarcamesine-Hydrochloride-Zinc-Chloride
compound_anavex-2-73-zinc-chloride,ANAVEX-2-73-Zinc-Chloride
compound_mw-109,MW-109
compound_st-480,ST-480
compound_brilaroxazine,brilaroxazine
compound_brilaroxazine_hydrochloride,brilaroxazine hydrochloride
compound_brilaroxazine-hydrochloride,Brilaroxazine-Hydrochloride
compound_lv-232,LV-232
compound_donquine,Donquine
compound_sa-30,SA-30
compound_tacrine,tacrine
compound_lc-098,LC-098
compound_ck-004,CK-004
compound_phloroglucinol,phloroglucinol
compound_nerandomilast,Nerandomilast
compound_sr-36531,SR-36531
compound_hn-2213,HN-2213
compound_dihydromyricetin-triethanolamine,Dihydromyricetin-Triethanolamine
compound_dihydromyricetin-trolamine,Dihydromyricetin-Trolamine
compound_4mt-2001,4MT-2001
compound_desmethyl-ruboxistaurin-lactate,Desmethyl-Ruboxistaurin-Lactate
compound_fosgonimeton,fosgonimeton
compound_fosgonimeton_sodium,fosgonimeton sodium
compound_fosgonimeton-monosodium,Fosgonimeton-Monosodium
compound_zw-010,ZW-010
compound_ag-161-47,AG-161-47
compound_cdd-2728,CDD-2728
compound_gm-2505,GM-2505
compound_jss-20-183-a,JSS-20-183-A
compound_ht-6184,HT-6184
compound_ofirnoflast,Ofirnoflast
compound_hlx-99,HLX-99
compound_taurocholic_acid,taurocholic acid
compound_ursodeoxycholic_acid,ursodeoxycholic acid
compound_wn-123,WN-123
compound_gm-2505-hydrochloride,GM-2505-Hydrochloride
compound_carnosine,carnosine
compound_muscarinic_receptor_modulators_nervous_system_disorders_vanderbilt_university,"muscarinic receptor modulators (nervous system disorders), Vanderbilt University"
compound_buntanetap,Buntanetap
compound_buntanetap_iv_annovis_bio,"buntanetap (iv), Annovis Bio"
compound_buntanetap_tartrate,buntanetap tartrate
compound_posiphen-tartrate,Posiphen-Tartrate
compound_gv-2001,GV-2001
compound_navacaprant_hydrochloride,navacaprant hydrochloride
compound_navacaprant_tartrate,navacaprant tartrate
compound_navacaprant-hydrochloride,Navacaprant-Hydrochloride
compound_varoglutamstat,varoglutamstat
compound_varoglutamstat-hydrochloride,Varoglutamstat-Hydrochloride
compound_jmkx-000623,JMKX-000623
compound_jmkx-000623-fumarate,JMKX-000623-Fumarate
compound_ophthalmate,Ophthalmate
compound_sky-0515,SKY-0515
compound_alipd-382,ALIPD-382
compound_mu-1855,MU-1855
compound_ray-03-18-a,RAY-03-18-A
compound_ytb-1801,YTB-1801
compound_eg-017,EG-017
compound_cp-q-1-1,CP-Q-1-1
compound_kh-607,KH-607
compound_ot-2,OT-2
compound_pkt-403,PKT-403
compound_therapeutic_agent_opiate_dependence_gatc_health,"therapeutic agent (opiate dependence), GATC Health"
compound_thiamine,thiamine
compound_gatc-1021,GATC-1021
compound_5-ht2a_agonist_treatment-resistant_depression_ptsd_kuleon_llc,"5-HT2A agonist (treatment-resistant depression, PTSD), Kuleon LLC"
compound_kb-128,KB-128
compound_bexicaserin,Bexicaserin
compound_mxl-026,MXL-026
compound_sarmentosin,Sarmentosin
compound_propentofylline,Propentofylline
compound_he-8,HE-8
compound_ccl-106,CCL-106
compound_azetukalner,azetukalner
compound_rtn-001,RTN-001
compound_ccg-385349,CCG-385349
compound_bnh-015b,BnH-015B
compound_bnh-015-b,BnH-015-B
compound_bt-881,BT-881
compound_sarm-46,SARM-46
compound_serine,serine
compound_ntx-1955,NTX-1955
compound_ptt-936,PTT-936
compound_l-ergothioneine,L-ergothioneine
compound_ergothioneine-phosphate,Ergothioneine-Phosphate
compound_cannabidiolic_acid,cannabidiolic acid
compound_cannabidiolate-phenylalanine,Cannabidiolate-Phenylalanine
compound_kb-2790,KB-2790
compound_iv-23,IV-23
compound_bx-20-9-040,BX-20-9-040
compound_dextromethorphan,Dextromethorphan
compound_br-009267,BR-009267
compound_uk-5141,UK-5141
compound_erinacine-a,Erinacine-A
compound_muh-2324,MuH-2324
compound_bx-20-9-044,BX-20-9-044
compound_hrs-7535,HRS-7535
compound_mc-180446,MC-180446
compound_sc-002770,SC-002770
compound_eg-017-phosphate,EG-017-Phosphate
compound_kh-16,KH-16
compound_melanocortin_agonist_weight_loss_endevica_bio,"melanocortin agonist (weight loss), Endevica Bio"
compound_melanocortin_receptor_antagonist_oral_cachexia_endevica_bio,"melanocortin receptor antagonist (oral, cachexia), Endevica Bio"
compound_mifomelatide,mifomelatide
compound_tcmcb-07,TCMCB-07
compound_ddl-930,DDL-930
compound_m-55,M-55
compound_mira-55,MIRA-55
compound_m-65,M-65
compound_ur-032,UR-032
compound_arn-27072,ARN-27072
compound_go-88,GO-88
compound_hbl-20017,HBL-20017
compound_deutetrabenazine,deutetrabenazine
compound_vimseltinib,Vimseltinib
compound_pirfenidone,pirfenidone
compound_pirfenidon,Pirfenidon
compound_zh-2-077,ZH-2-077
compound_gsc-000580,GSC-000580
compound_lct-011133,LCT-011133
compound_uscyl-01,USCYL-01
compound_blx-0279,BLX-0279
compound_yk-321,YK-321
compound_methscopolamine_bromide,methscopolamine bromide
compound_ym-iii-109,YM-III-109
compound_cck-655,CCK-655
compound_z-mp,Z-MP
compound_aspirin,Aspirin
compound_eu-1180-438,EU-1180-438
compound_mmx-1902,MMX-1902
compound_mxo-2691,MXO-2691
compound_gpr4_agonists_alzheimer_s_disease_selonterra,"GPR4 agonists (Alzheimer's disease), Selonterra"
compound_nivegacetor,nivegacetor
compound_ptm-366,PTM-366
compound_paclitaxel,Paclitaxel
compound_vvz-005,VVZ-005
