raw_disease_id,name
rawdisease_alzheimers_disease,Alzheimers disease
rawdisease_diabetes_mellitus,Diabetes mellitus
rawdisease_down_syndrome,Down syndrome
rawdisease_huntingtons_chorea,Huntingtons chorea
rawdisease_motor_neurone_disease,Motor neurone disease
rawdisease_neurodegenerative_disease,Neurodegenerative disease
rawdisease_parkinsons_disease,Parkinsons disease
rawdisease_prion_infection,Prion infection
rawdisease_acute_leukemia,Acute leukemia
rawdisease_bladder_cancer,Bladder cancer
rawdisease_breast_tumor,Breast tumor
rawdisease_cancer,Cancer
rawdisease_glioblastoma,Glioblastoma
rawdisease_liver_fibrosis,Liver fibrosis
rawdisease_lymphoma,Lymphoma
rawdisease_multiple_sclerosis,Multiple sclerosis
rawdisease_attention_deficit_hyperactivity_disorder,Attention deficit hyperactivity disorder
rawdisease_brain_disease,Brain disease
rawdisease_cognitive_disorder,Cognitive disorder
rawdisease_dystonia,Dystonia
rawdisease_movement_disorder,Movement disorder
rawdisease_schizophrenia,Schizophrenia
rawdisease_tourette_syndrome,Tourette syndrome
rawdisease_brain_tumor,Brain tumor
rawdisease_colon_tumor,Colon tumor
rawdisease_multiple_myeloma,Multiple myeloma
rawdisease_pancreas_tumor,Pancreas tumor
rawdisease_rectal_tumor,Rectal tumor
rawdisease_skin_cancer,Skin cancer
rawdisease_stomach_tumor,Stomach tumor
rawdisease_dementia,Dementia
rawdisease_psychiatric_disorder,Psychiatric disorder
rawdisease_psychotic_disorder,Psychotic disorder
rawdisease_crohns_disease,Crohns disease
rawdisease_hyperglycemia,Hyperglycemia
rawdisease_hypertension,Hypertension
rawdisease_insulin_dependent_diabetes,Insulin dependent diabetes
rawdisease_non-insulin_dependent_diabetes,Non-insulin dependent diabetes
rawdisease_obesity,Obesity
rawdisease_polycystic_ovary_syndrome,Polycystic ovary syndrome
rawdisease_stroke,Stroke
rawdisease_traumatic_brain_injury,Traumatic brain injury
rawdisease_cytomegalovirus_infection,Cytomegalovirus infection
rawdisease_influenza_virus_a_infection,Influenza virus A infection
rawdisease_osteoarthritis,Osteoarthritis
rawdisease_viral_infection,Viral infection
rawdisease_atherosclerosis,Atherosclerosis
rawdisease_bone_tumor,Bone tumor
rawdisease_hodgkins_disease,Hodgkins disease
rawdisease_lupus_nephritis,Lupus nephritis
rawdisease_sjoegrens_syndrome,Sjoegrens syndrome
rawdisease_systemic_lupus_erythematosus,Systemic lupus erythematosus
rawdisease_adrenoleukodystrophy,Adrenoleukodystrophy
rawdisease_alexander_disease,Alexander disease
rawdisease_canavan_disease,Canavan disease
rawdisease_globoid_cell_leukodystrophy,Globoid cell leukodystrophy
rawdisease_leukodystrophy,Leukodystrophy
rawdisease_nerve_injury,Nerve injury
rawdisease_spinal_cord_injury,Spinal cord injury
rawdisease_autoimmune_disease,Autoimmune disease
rawdisease_autoimmune_encephalomyelitis,Autoimmune encephalomyelitis
rawdisease_inflammatory_bowel_disease,Inflammatory bowel disease
rawdisease_injury,Injury
rawdisease_ischemia,Ischemia
rawdisease_mitochondrial_optic_neuropathy,Mitochondrial optic neuropathy
rawdisease_neurological_disease,Neurological disease
rawdisease_anxiety_disorder,Anxiety disorder
rawdisease_autism,Autism
rawdisease_bipolar_disorder,Bipolar disorder
rawdisease_central_nervous_system_disease,Central nervous system disease
rawdisease_depression,Depression
rawdisease_fibromyalgia,Fibromyalgia
rawdisease_pain,Pain
rawdisease_sleep_disorder,Sleep disorder
rawdisease_gaucher_disease,Gaucher disease
rawdisease_hepatocellular_carcinoma,Hepatocellular carcinoma
rawdisease_liver_disease,Liver disease
rawdisease_lysosome_storage_disease,Lysosome storage disease
rawdisease_non-alcoholic_steatohepatitis,Non-alcoholic steatohepatitis
rawdisease_asthma,Asthma
rawdisease_mycobacterium_tuberculosis_infection,Mycobacterium tuberculosis infection
rawdisease_myocardial_infarction,Myocardial infarction
rawdisease_psoriasis,Psoriasis
rawdisease_sepsis,Sepsis
rawdisease_inflammatory_disease,Inflammatory disease
rawdisease_neuropathic_pain,Neuropathic pain
rawdisease_primary_lateral_sclerosis,Primary lateral sclerosis
rawdisease_progressive_supranuclear_palsy,Progressive supranuclear palsy
rawdisease_sarcopenia,Sarcopenia
rawdisease_frontotemporal_dementia,Frontotemporal dementia
rawdisease_rheumatoid_arthritis,Rheumatoid arthritis
rawdisease_drug_dependence,Drug dependence
rawdisease_headache,Headache
rawdisease_mood_disorder,Mood disorder
rawdisease_neuritis,Neuritis
rawdisease_cushings_syndrome,Cushings syndrome
rawdisease_glaucoma,Glaucoma
rawdisease_constipation,Constipation
rawdisease_fragile_x_syndrome,Fragile X syndrome
rawdisease_fragile_x-associated_tremor_ataxia_syndrome,Fragile X-associated tremor ataxia syndrome
rawdisease_respiratory_failure,Respiratory failure
rawdisease_subcortical_vascular_dementia,Subcortical vascular dementia
rawdisease_kaposis_sarcoma,Kaposis sarcoma
rawdisease_multiple_system_atrophy,Multiple system atrophy
rawdisease_restenosis,Restenosis
rawdisease_influenza_virus_infection,Influenza virus infection
rawdisease_mycobacterium_infection,Mycobacterium infection
rawdisease_allergy,Allergy
rawdisease_gastrointestinal_infection,Gastrointestinal infection
rawdisease_atrophy,Atrophy
rawdisease_cerebral_palsy,Cerebral palsy
rawdisease_guillain_barre_syndrome,Guillain Barre syndrome
rawdisease_lebers_hereditary_optic_atrophy,Lebers hereditary optic atrophy
rawdisease_pelizaeus_merzbacher_disease,Pelizaeus Merzbacher disease
rawdisease_olivopontocerebellar_atrophy,Olivopontocerebellar atrophy
rawdisease_rett_syndrome,Rett syndrome
rawdisease_shy_drager_syndrome,Shy Drager syndrome
rawdisease_spinocerebellar_ataxia,Spinocerebellar ataxia
rawdisease_eating_disorder,Eating disorder
rawdisease_personality_disorder,Personality disorder
rawdisease_major_depressive_disorder,Major depressive disorder
rawdisease_phelan_mcdermid_syndrome,Phelan McDermid syndrome
rawdisease_cerebral_amyloid_angiopathy,Cerebral amyloid angiopathy
rawdisease_acute_lymphoblastic_leukemia,Acute lymphoblastic leukemia
rawdisease_acute_myelogenous_leukemia,Acute myelogenous leukemia
rawdisease_atopic_dermatitis,Atopic dermatitis
rawdisease_chronic_lymphocytic_leukemia,Chronic lymphocytic leukemia
rawdisease_chronic_obstructive_pulmonary_disease,Chronic obstructive pulmonary disease
rawdisease_lung_inflammation,Lung inflammation
rawdisease_epilepsy,Epilepsy
rawdisease_restless_legs_syndrome,Restless legs syndrome
rawdisease_age_related_macular_degeneration,Age related macular degeneration
rawdisease_diabetic_macular_edema,Diabetic macular edema
rawdisease_prostate_disease,Prostate disease
rawdisease_cardiac_failure,Cardiac failure
rawdisease_fatty_liver_disease,Fatty liver disease
rawdisease_fibrosis,Fibrosis
rawdisease_hypercholesterolemia,Hypercholesterolemia
rawdisease_hyperlipidemia,Hyperlipidemia
rawdisease_metabolic_disorder,Metabolic disorder
rawdisease_bipolar_i_disorder,Bipolar I disorder
rawdisease_metachromatic_leukodystrophy,Metachromatic leukodystrophy
rawdisease_bronchitis,Bronchitis
rawdisease_pancreatitis,Pancreatitis
rawdisease_post_traumatic_stress_disorder,Post traumatic stress disorder
rawdisease_vascular_dementia,Vascular dementia
rawdisease_neuronal_ceroid_lipofuscinosis,Neuronal ceroid lipofuscinosis
rawdisease_peripheral_neuropathy,Peripheral neuropathy
rawdisease_tuberous_sclerosis,Tuberous sclerosis
rawdisease_cerebrovascular_disease,Cerebrovascular disease
rawdisease_spinocerebellar_degenerations,Spinocerebellar degenerations
rawdisease_respiratory_tract_inflammation,Respiratory tract inflammation
rawdisease_bacterial_infection,Bacterial infection
rawdisease_cryopyrin_associated_periodic_syndrome,Cryopyrin associated periodic syndrome
rawdisease_gout,Gout
rawdisease_non_alcoholic_fatty_liver_disease,Non alcoholic fatty liver disease
rawdisease_peritonitis,Peritonitis
rawdisease_cardiovascular_disease,Cardiovascular disease
rawdisease_cerebral_infarction,Cerebral infarction
rawdisease_steatohepatitis,Steatohepatitis
rawdisease_brugada_syndrome,Brugada syndrome
rawdisease_amnesia,Amnesia
rawdisease_brain_ischemia,Brain ischemia
rawdisease_cranial_nerve_disorder,Cranial nerve disorder
rawdisease_chronic_thromboembolic_pulmonary_hypertension,Chronic thromboembolic pulmonary hypertension
rawdisease_decubitus_ulcer,Decubitus ulcer
rawdisease_diabetic_foot_ulcer,Diabetic foot ulcer
rawdisease_diabetic_neuropathy,Diabetic neuropathy
rawdisease_erectile_dysfunction,Erectile dysfunction
rawdisease_pulmonary_artery_hypertension,Pulmonary artery hypertension
rawdisease_raynauds_disease,Raynauds disease
rawdisease_wound_healing,Wound healing
rawdisease_hiv_infection,HIV infection
rawdisease_heart_disease,Heart disease
rawdisease_cystic_fibrosis,Cystic fibrosis
rawdisease_gestational_diabetes,Gestational diabetes
rawdisease_hemochromatosis,Hemochromatosis
rawdisease_insulin_resistance,Insulin resistance
rawdisease_metabolic_syndrome_x,Metabolic syndrome X
rawdisease_colorectal_tumor,Colorectal tumor
rawdisease_coronary_artery_disease,Coronary artery disease
rawdisease_hepatic_encephalopathy,Hepatic encephalopathy
rawdisease_infectious_disease,Infectious disease
rawdisease_intestine_disease,Intestine disease
rawdisease_short_bowel_syndrome,Short bowel syndrome
rawdisease_tinnitus,Tinnitus
rawdisease_vascular_disease,Vascular disease
rawdisease_osteoporosis,Osteoporosis
rawdisease_alopecia,Alopecia
rawdisease_corneal_dystrophy,Corneal dystrophy
rawdisease_liver_tumor,Liver tumor
rawdisease_myelodysplastic_syndrome,Myelodysplastic syndrome
rawdisease_narcolepsy,Narcolepsy
rawdisease_alcoholism,Alcoholism
rawdisease_cocaine_addiction,Cocaine addiction
rawdisease_nicotine_dependence,Nicotine dependence
rawdisease_renal_disease,Renal disease
rawdisease_becker_muscular_dystrophy,Becker muscular dystrophy
rawdisease_charcot_marie_tooth_disease,Charcot Marie Tooth disease
rawdisease_muscular_dystrophy,Muscular dystrophy
rawdisease_myasthenia_gravis,Myasthenia gravis
rawdisease_spinal_muscular_atrophy,Spinal muscular atrophy
rawdisease_ovary_tumor,Ovary tumor
rawdisease_renal_tumor,Renal tumor
rawdisease_endometriosis,Endometriosis
rawdisease_hot_flashes,Hot flashes
rawdisease_menopause,Menopause
rawdisease_prostate_hyperplasia,Prostate hyperplasia
rawdisease_uterine_fibroids,Uterine fibroids
rawdisease_mild_cognitive_impairment,Mild cognitive impairment
rawdisease_drug_withdrawal_syndrome,Drug withdrawal syndrome
rawdisease_migraine,Migraine
rawdisease_intellectual_impairment,Intellectual impairment
rawdisease_arthritis,Arthritis
rawdisease_skin_burns,Skin burns
rawdisease_emesis,Emesis
rawdisease_genital_tract_infection,Genital tract infection
rawdisease_palpitation,Palpitation
rawdisease_pre-eclampsia,Pre-eclampsia
rawdisease_leukemia,Leukemia
rawdisease_melanoma,Melanoma
rawdisease_scleroderma,Scleroderma
rawdisease_ulcerative_colitis,Ulcerative colitis
rawdisease_xerophthalmia,Xerophthalmia
rawdisease_acute_stress_disorder,Acute stress disorder
rawdisease_insomnia,Insomnia
rawdisease_acquired_immune_deficiency_syndrome,Acquired immune deficiency syndrome
rawdisease_aggression,Aggression
rawdisease_cerebral_edema,Cerebral edema
rawdisease_obsessive_compulsive_disorder,Obsessive compulsive disorder
rawdisease_hypersomnia,Hypersomnia
rawdisease_coronavirus_disease_19_infection,Coronavirus disease 19 infection
rawdisease_irritable_bowel_syndrome,Irritable bowel syndrome
rawdisease_prostate_tumor,Prostate tumor
rawdisease_borderline_personality_disorder,Borderline personality disorder
rawdisease_dissociative_disorder,Dissociative disorder
rawdisease_seizure_disorder,Seizure disorder
rawdisease_ischemic_heart_disease,Ischemic heart disease
rawdisease_appetite_loss,Appetite loss
rawdisease_compulsive_gambling,Compulsive gambling
rawdisease_lipid_metabolism_disorder,Lipid metabolism disorder
rawdisease_thrombosis,Thrombosis
rawdisease_asperger_syndrome,Asperger syndrome
rawdisease_opiate_dependence,Opiate dependence
rawdisease_overactive_bladder,Overactive bladder
rawdisease_sexual_dysfunction,Sexual dysfunction
rawdisease_renal_cell_carcinoma,Renal cell carcinoma
rawdisease_lewy_body_dementia,Lewy body dementia
rawdisease_anorexia_nervosa,Anorexia nervosa
rawdisease_chronic_fatigue_syndrome,Chronic fatigue syndrome
rawdisease_generalized_anxiety_disorder,Generalized anxiety disorder
rawdisease_lung_disease,Lung disease
rawdisease_plasmodium_infection,Plasmodium infection
rawdisease_genetic_disorder,Genetic disorder
rawdisease_bulimia_nervosa,Bulimia nervosa
rawdisease_hepatitis_b_virus_infection,Hepatitis B virus infection
rawdisease_neoplasm,Neoplasm
rawdisease_creutzfeldt_jakob_disease,Creutzfeldt Jakob disease
rawdisease_arteriosclerosis,Arteriosclerosis
rawdisease_amyloid_polyneuropathy,Amyloid polyneuropathy
rawdisease_amyloidosis,Amyloidosis
rawdisease_mania,Mania
rawdisease_b-cell_lymphoma,B-cell lymphoma
rawdisease_bone_disease,Bone disease
rawdisease_myeloproliferative_disorder,Myeloproliferative disorder
rawdisease_thrombocythemia,Thrombocythemia
rawdisease_bipolar_ii_disorder,Bipolar II disorder
rawdisease_complex_regional_pain_syndrome,Complex regional pain syndrome
rawdisease_diarrhea,Diarrhea
rawdisease_liver_cirrhosis,Liver cirrhosis
rawdisease_liver_injury,Liver injury
rawdisease_portal_hypertension,Portal hypertension
rawdisease_pulmonary_fibrosis,Pulmonary fibrosis
rawdisease_anemia,Anemia
rawdisease_heart_neoplasm,Heart neoplasm
rawdisease_lung_tumor,Lung tumor
rawdisease_nephritis,Nephritis
rawdisease_mycobacterium_leprae_infection,Mycobacterium leprae infection
rawdisease_atrial_fibrillation,Atrial fibrillation
rawdisease_extrasystole,Extrasystole
rawdisease_heart_arrhythmia,Heart arrhythmia
rawdisease_macular_degeneration,Macular degeneration
rawdisease_delirium,Delirium
rawdisease_hyperprolactinemia,Hyperprolactinemia
rawdisease_panic_disorder,Panic disorder
rawdisease_ocular_disease,Ocular disease
rawdisease_dysthymic_disorder,Dysthymic disorder
rawdisease_polycystic_kidney_disease,Polycystic kidney disease
rawdisease_thyroid_tumor,Thyroid tumor
rawdisease_osteosarcoma,Osteosarcoma
rawdisease_sickle_cell_anemia,Sickle cell anemia
rawdisease_idiopathic_thrombocytopenic_purpura,Idiopathic thrombocytopenic purpura
rawdisease_niemann_pick_disease,Niemann Pick disease
rawdisease_gastrointestinal_disease,Gastrointestinal disease
rawdisease_herpes_simplex_virus_infection,Herpes simplex virus infection
rawdisease_costello_syndrome,Costello syndrome
rawdisease_autoinflammatory_disease,Autoinflammatory disease
rawdisease_dermatomyositis,Dermatomyositis
rawdisease_immune_disorder,Immune disorder
rawdisease_septic_shock,Septic shock
rawdisease_neuropathy,Neuropathy
rawdisease_anesthesia,Anesthesia
rawdisease_nausea,Nausea
rawdisease_suicidal_ideation,Suicidal ideation
rawdisease_myopathy,Myopathy
rawdisease_neuromuscular_disease,Neuromuscular disease
rawdisease_peripheral_vascular_disease,Peripheral vascular disease
rawdisease_pulmonary_hypertension,Pulmonary hypertension
rawdisease_renal_failure,Renal failure
rawdisease_aging,Aging
rawdisease_encephalomyelitis,Encephalomyelitis
rawdisease_friedreich_ataxia,Friedreich ataxia
rawdisease_melas_syndrome,MELAS syndrome
rawdisease_mitochondrial_disease,Mitochondrial disease
rawdisease_myoglobinuria,Myoglobinuria
rawdisease_herpesvirus_infection,Herpesvirus infection
rawdisease_stomach_ulcer,Stomach ulcer
rawdisease_acute_lung_injury,Acute lung injury
rawdisease_hearing_loss,Hearing loss
rawdisease_respiratory_distress_syndrome,Respiratory distress syndrome
rawdisease_werner_syndrome,Werner syndrome
rawdisease_alcoholic_liver_disease,Alcoholic liver disease
rawdisease_cardiac_reperfusion_injury,Cardiac reperfusion injury
rawdisease_fanconi_anemia,Fanconi anemia
rawdisease_head_and_neck_tumor,Head and neck tumor
rawdisease_cerebral_hemorrhage,Cerebral hemorrhage
rawdisease_absence_seizure,Absence seizure
rawdisease_essential_tremor,Essential tremor
rawdisease_juvenile_myoclonic_epilepsy,Juvenile myoclonic epilepsy
rawdisease_catatonia,Catatonia
rawdisease_hyperalgesia,Hyperalgesia
rawdisease_central_nervous_system_tumor,Central nervous system tumor
rawdisease_congestive_heart_failure,Congestive heart failure
rawdisease_muscle_weakness,Muscle weakness
rawdisease_ventricular_tachycardia,Ventricular tachycardia
rawdisease_dermatitis,Dermatitis
rawdisease_fungal_infection,Fungal infection
rawdisease_hearing_disorder,Hearing disorder
rawdisease_alpha-1_antitrypsin_deficiency,Alpha-1 antitrypsin deficiency
rawdisease_duchenne_dystrophy,Duchenne dystrophy
rawdisease_stargardt_disease,Stargardt disease
rawdisease_niemann_pick_disease_type_c,Niemann Pick disease type C
rawdisease_brain_injury,Brain injury
rawdisease_dysmenorrhea,Dysmenorrhea
rawdisease_endocrine_disease,Endocrine disease
rawdisease_hyperplasia,Hyperplasia
rawdisease_hyponatremia,Hyponatremia
rawdisease_premature_labor,Premature labor
rawdisease_burkitts_lymphoma,Burkitts lymphoma
rawdisease_gastroesophageal_reflux,Gastroesophageal reflux
rawdisease_fabry_disease,Fabry disease
rawdisease_neuroblastoma,Neuroblastoma
rawdisease_aicardi_goutieres_syndrome,Aicardi Goutieres syndrome
rawdisease_vasculitis,Vasculitis
rawdisease_degeneration,Degeneration
rawdisease_retinopathy,Retinopathy
rawdisease_ataxia_telangiectasia,Ataxia telangiectasia
rawdisease_refsum_disease,Refsum disease
rawdisease_intracranial_aneurysm,Intracranial aneurysm
rawdisease_immune_deficiency,Immune deficiency
rawdisease_autoimmune_nervous_system_disease,Autoimmune nervous system disease
rawdisease_nervous_system_inflammation,Nervous system inflammation
rawdisease_melancholia,Melancholia
rawdisease_postnatal_depression,Postnatal depression
rawdisease_status_epilepticus,Status epilepticus
rawdisease_circadian_rhythm_sleep_disorder,Circadian rhythm sleep disorder
rawdisease_multi-infarct_dementia,Multi-infarct dementia
rawdisease_enteritis,Enteritis
rawdisease_hepatitis_virus_infection,Hepatitis virus infection
rawdisease_acute_coronary_syndrome,Acute coronary syndrome
rawdisease_pneumonia,Pneumonia
rawdisease_wilson_disease,Wilson disease
rawdisease_head_injury,Head injury
rawdisease_coronavirus_infection,Coronavirus infection
rawdisease_dengue_virus_infection,Dengue virus infection
rawdisease_hepatitis_c_virus_infection,Hepatitis C virus infection
rawdisease_norovirus_infection,Norovirus infection
rawdisease_rhinovirus_infection,Rhinovirus infection
rawdisease_peripheral_nervous_system_disease,Peripheral nervous system disease
rawdisease_male_infertility,Male infertility
rawdisease_delusional_disorder,Delusional disorder
rawdisease_cough,Cough
rawdisease_urinary_tract_disease,Urinary tract disease
rawdisease_dystrophy,Dystrophy
rawdisease_hallervorden-spatz_syndrome,Hallervorden-Spatz syndrome
rawdisease_beta_thalassemia,Beta thalassemia
rawdisease_idiopathic_pulmonary_fibrosis,Idiopathic pulmonary fibrosis
rawdisease_sarcoidosis,Sarcoidosis
rawdisease_bleeding,Bleeding
rawdisease_hypogonadism,Hypogonadism
rawdisease_retinitis_pigmentosa,Retinitis pigmentosa
rawdisease_familial_mediterranean_fever,Familial mediterranean fever
rawdisease_muckle_wells_syndrome,Muckle Wells syndrome
rawdisease_autoimmune_hemolytic_anemia,Autoimmune hemolytic anemia
rawdisease_glioma,Glioma
rawdisease_sarcoma,Sarcoma
rawdisease_dental_caries,Dental caries
rawdisease_myotonic_dystrophy,Myotonic dystrophy
rawdisease_diabetic_retinopathy,Diabetic retinopathy
rawdisease_hepatitis,Hepatitis
rawdisease_encephalitis,Encephalitis
rawdisease_ischemic_stroke,Ischemic stroke
rawdisease_meningitis,Meningitis
rawdisease_nutritional_deficiency,Nutritional deficiency
rawdisease_peroxisome_disease,Peroxisome disease
rawdisease_diabetic_nephropathy,Diabetic nephropathy
rawdisease_neuromyelitis_optica,Neuromyelitis optica
rawdisease_inner_ear_disease,Inner ear disease
rawdisease_central_nervous_system_infection,Central nervous system infection
rawdisease_corneal_injury,Corneal injury
rawdisease_ankylosing_spondylitis,Ankylosing spondylitis
rawdisease_agitation,Agitation
rawdisease_ataxia,Ataxia
rawdisease_hyperkinesia,Hyperkinesia
rawdisease_tardive_dyskinesia,Tardive dyskinesia
rawdisease_moyamoya_disease,Moyamoya disease
rawdisease_cachexia,Cachexia
rawdisease_muscle_disease,Muscle disease
rawdisease_biliary_cancer,Biliary cancer
rawdisease_non-small-cell_lung_cancer,Non-small-cell lung cancer
rawdisease_hematological_neoplasm,Hematological neoplasm
rawdisease_infertility,Infertility
rawdisease_hypothyroidism,Hypothyroidism
rawdisease_transitional_cell_carcinoma,Transitional cell carcinoma
rawdisease_spastic_paraplegia,Spastic paraplegia
rawdisease_hereditary_angioedema,Hereditary angioedema
rawdisease_uveitis,Uveitis
rawdisease_heparin_induced_thrombocytopenia,Heparin induced thrombocytopenia
rawdisease_fatigue,Fatigue
rawdisease_alcohol_withdrawal_syndrome,Alcohol withdrawal syndrome
rawdisease_diabetes_insipidus,Diabetes insipidus
rawdisease_weight_gain,Weight gain
rawdisease_acidosis,Acidosis
rawdisease_hypoparathyroidism,Hypoparathyroidism
rawdisease_liver_failure,Liver failure
rawdisease_schizoaffective_disorder,Schizoaffective disorder
rawdisease_eczema,Eczema
rawdisease_skin_allergy,Skin allergy
rawdisease_alopecia_areata,Alopecia areata
rawdisease_dilated_cardiomyopathy,Dilated cardiomyopathy
rawdisease_gastrointestinal_stromal_tumor,Gastrointestinal stromal tumor
rawdisease_optic_neuritis,Optic neuritis
rawdisease_weight_loss,Weight loss
rawdisease_hutchinson_gilford_progeria_syndrome,Hutchinson Gilford progeria syndrome
rawdisease_penile_induration,Penile induration
rawdisease_respiratory_disease,Respiratory disease
rawdisease_familial_cold_autoinflammatory_syndrome,Familial cold autoinflammatory syndrome
rawdisease_holt_oram_syndrome,Holt Oram syndrome
rawdisease_mesothelioma,Mesothelioma
rawdisease_myocardial_disease,Myocardial disease
rawdisease_angina,Angina
rawdisease_transplant_rejection,Transplant rejection
rawdisease_phobia,Phobia
rawdisease_suicide,Suicide
rawdisease_cushings_disease,Cushings disease
rawdisease_hiv-1_infection,HIV-1 infection
rawdisease_diffuse_large_b-cell_lymphoma,Diffuse large B-cell lymphoma
rawdisease_mantle_cell_lymphoma,Mantle cell lymphoma
rawdisease_non-hodgkin_lymphoma,Non-Hodgkin lymphoma
rawdisease_macular_edema,Macular edema
rawdisease_end_stage_renal_disease,End stage renal disease
rawdisease_solid_tumor,Solid tumor
rawdisease_deafness,Deafness
rawdisease_bladder_disease,Bladder disease
rawdisease_reperfusion_injury,Reperfusion injury
rawdisease_blood_clotting_disorder,Blood clotting disorder
